model,N_liq_MAE,N_liq_RMSE,N_liq_logMAE,N_liq_logRMSE,N_liq_n_observed,Supports_Censored_Nliq,N_liq_logMAE_liq,N_liq_MAE_liq,Onset_EarlyWarning_Rate,Onset_Timing_Bias_cyc,Onset_Timing_MAE_cyc,AUROC,AUPRC,Brier,ECE,N_risk_observed,Traj_MSE,Traj_MAE,Traj_RMSE,Traj_MSE_continuation,Traj_MAE_continuation,Traj_RMSE_continuation,Physics_Violation_Rate,Coverage_80,Interval_Width_80,Coverage_90,Interval_Width_90,Coverage_95,Interval_Width_95,Calibration_Error,Traj_NLL,Traj_CRPS,CRR_RMSE,N_CRR_test,N_CRR_objects,Produces_CRR,Traj_RMSE_late,Traj_RMSE_liq,Traj_RMSE_stab,Traj_RMSE_nostab,Traj_RMSE_balanced,Traj_RMSE_worst,Traj_RMSE_continuation_liq,Traj_RMSE_continuation_stab,Traj_RMSE_continuation_nostab,Traj_RMSE_continuation_balanced,Traj_RMSE_continuation_worst
Transformer,176.0044708251953,264.60943603515625,0.30852192640304565,0.5414046049118042,229,True,0.5631887912750244,141.0611114501953,0.26851851851851855,20.607595443725586,44.042701721191406,1.0,1.0000000000000002,6.224467506399378e-05,0.004063477333296429,220,0.008568541146814823,0.06502150744199753,0.09256641478859826,0.010734755545854568,0.07770469784736633,0.103608665399447,0.03056768558951965,0.5916626453399658,0.15189920365810394,0.689384400844574,0.1949586570262909,0.7582162022590637,0.23230528831481934,0.2035789171854655,-0.6569705605506897,0.05807695825154653,,0,0,False,0.1188071146607399,0.04527304694056511,0.11192191392183304,0.07470165193080902,0.07729887093106906,0.11192191392183304,0.051634468138217926,0.12221177667379379,0.11014951765537262,0.09466525415579478,0.12221177667379379
RealNVP,294.4111633300781,534.5438842773438,0.4327094256877899,0.7049963474273682,229,True,0.756976306438446,282.7912292480469,0.14814814814814814,66.90973663330078,69.4205551147461,0.9974371693121693,0.9973173079296518,0.02213430404663086,0.03605674528940157,220,0.011011887341737747,0.06869669258594513,0.10493754019290592,0.01359929982572794,0.08191782981157303,0.11661603588584178,0.2445414847161572,0.5265147686004639,0.1356469690799713,0.6137663722038269,0.17409932613372803,0.670576810836792,0.20745013654232025,0.2797140161196391,0.9793040752410889,0.06360500101143593,,0,0,False,0.1405535787343979,0.050662703812122345,0.12633705139160156,0.12128853052854538,0.0994294285774231,0.12633705139160156,0.05676349624991417,0.13817979395389557,0.08891110122203827,0.09461813047528267,0.13817979395389557
DPI-EVT,289.91656494140625,539.1597900390625,0.8386120796203613,1.2782995700836182,229,True,1.7265815734863281,535.6760864257812,0.0,432.7115173339844,432.7115173339844,0.9934689153439153,0.9923939011984698,0.021891914308071136,0.027010786431756882,220,0.011061877943575382,0.0726560428738594,0.10517546264968547,0.010950892232358456,0.07796116918325424,0.10464651084655645,0.0,0.8171594738960266,0.2712201774120331,0.903150737285614,0.34810397028923035,0.9413475394248962,0.4147874116897583,0.009654223918914758,-0.9302514791488647,0.054618279265979584,0.1903197318315506,85,1,True,0.11916901916265488,0.08594843745231628,0.10191752016544342,0.3642899990081787,0.18405198554197946,0.3642899990081787,0.08767754584550858,0.11019378155469894,0.23043017089366913,0.1427671660979589,0.23043017089366913
GRU,256.85675048828125,395.0185852050781,0.5218954682350159,0.7734931111335754,229,True,0.9069847464561462,122.23567962646484,0.7129629629629629,-49.47574234008789,74.80030822753906,0.9995866402116402,0.9995774807344556,0.015116693452000618,0.020430148600346663,220,0.01342806126922369,0.08027460426092148,0.1158795118613454,0.016729289665818214,0.09505283832550049,0.12934175530669983,0.925764192139738,0.5782840251922607,0.18075644969940186,0.6608822345733643,0.23199617862701416,0.7141056656837463,0.27643781900405884,0.23224269151687624,-0.03459972143173218,0.07394151536470238,,0,0,False,0.15109671652317047,0.074480801820755,0.13513687252998352,0.08792371302843094,0.09918046245972316,0.13513687252998352,0.08506502956151962,0.14741367101669312,0.11642229557037354,0.11630033204952876,0.14741367101669312
TCN,151.94288635253906,236.4109649658203,0.31092599034309387,0.5012122392654419,229,True,0.5673768520355225,99.39302825927734,0.37962962962962965,22.191251754760742,50.90804672241211,1.0,1.0,0.00804275181144476,0.027486353215168822,220,0.014520490542054176,0.08190660923719406,0.12050099809567627,0.01820475235581398,0.09862756729125977,0.13492498788517263,0.9170305676855895,0.5726611614227295,0.1818108707666397,0.6718371510505676,0.2333494871854782,0.7415414452552795,0.27805036306381226,0.22132008075714113,-0.12822523713111877,0.07466123564330127,,0,0,False,0.15881898999214172,0.06948559731245041,0.14318732917308807,0.07708742469549179,0.09658678372701009,0.14318732917308807,0.07958991825580597,0.15659531950950623,0.09501303732395172,0.11039942502975464,0.15659531950950623
DeepState,282.2357177734375,422.95745849609375,0.458617240190506,0.7040888071060181,229,True,0.8351485729217529,232.51751708984375,0.009259259259259259,112.93324279785156,112.93324279785156,0.9985945767195767,0.9985401797067472,0.016508985310792923,0.025661746150052008,220,0.01489658746868372,0.09238381683826447,0.12205157708396774,0.01728815957903862,0.10042649507522583,0.13148444614873128,0.0,0.6366456747055054,0.21049323678016663,0.7308773398399353,0.27016252279281616,0.793407678604126,0.3219153881072998,0.1630231022834778,-0.3313908874988556,0.0750359549518662,,0,0,False,0.15129627287387848,0.10194148868322372,0.13318906724452972,0.09086514264345169,0.10866523285706838,0.13318906724452972,0.10646127909421921,0.14326924085617065,0.08379565179347992,0.11117539058128993,0.14326924085617065
EVT-NeuralSSM,310.7260437011719,548.835693359375,0.8362013697624207,1.2602136135101318,229,True,1.7060846090316772,526.8932495117188,0.0,421.8466796875,421.8466796875,0.9936342592592593,0.9934986417649704,0.06495318561792374,0.09317890630865638,220,0.015219200402498245,0.09224443137645721,0.12336612339900385,0.016518713906407356,0.09906823933124542,0.12852514892583225,0.0,0.7732428312301636,0.30312609672546387,0.8730974197387695,0.38905441761016846,0.9379544258117676,0.4635823965072632,0.02190177440643311,-0.6742624640464783,0.07091720475332637,0.22922386229038239,85,1,True,0.14660675823688507,0.0778728723526001,0.13708829879760742,0.3086249530315399,0.1745287080605825,0.3086249530315399,0.07778561860322952,0.14771594107151031,0.1747598648071289,0.13342047482728958,0.1747598648071289
DPI-Flow,218.44129943847656,695.4033813476562,0.3535391688346863,0.7587448954582214,229,True,0.722025990486145,438.3044738769531,0.3888888888888889,11.182058334350586,34.541404724121094,0.9950396825396826,0.994637816640993,0.03836119920015335,0.059901229088956655,220,0.01635676994919777,0.09696702659130096,0.1278935883818957,0.017384300008416176,0.10689780861139297,0.13184953548805614,0.008733624454148471,0.632864773273468,0.2553826868534088,0.7555986642837524,0.32777702808380127,0.8476975560188293,0.39056655764579773,0.13794633547465007,-0.5479030609130859,0.07646634100979545,0.24186457693576813,85,1,True,0.1428741067647934,0.09212414920330048,0.13688227534294128,0.33843258023262024,0.18914633492628732,0.33843258023262024,0.08991295099258423,0.14901229739189148,0.14412973821163177,0.12768499553203583,0.14901229739189148
LSTM,294.74591064453125,498.390625,0.3662416338920593,0.6122952103614807,229,True,0.4741688072681427,56.38252639770508,0.5925925925925926,-14.889476776123047,40.071441650390625,0.9983465608465608,0.998305770943362,0.01835210807621479,0.028465331430462273,220,0.017111295834183693,0.09374837577342987,0.1308101518773818,0.02022894285619259,0.10600866377353668,0.14222848820188094,1.0,0.5301017761230469,0.17574593424797058,0.6208434104919434,0.22556526958942413,0.6836645603179932,0.26877498626708984,0.27179675102233886,0.2021782398223877,0.08284103621604082,,0,0,False,0.16470785439014435,0.0678519755601883,0.15731322765350342,0.09790725260972977,0.10769081860780716,0.15731322765350342,0.06455569714307785,0.16938340663909912,0.12195370346307755,0.11863093574841817,0.16938340663909912
PINN,715.7771606445312,787.0877685546875,1.0386995077133179,1.3510737419128418,229,True,1.8790076971054077,689.781982421875,0.0,601.0061645507812,601.0061645507812,0.9981812169312169,0.998094702782135,0.03619421645998955,0.1121629865670746,220,0.018863342702388763,0.10879252105951309,0.13734388483798163,0.02225368097424507,0.12170993536710739,0.14917667704519053,0.043668122270742356,0.6094037890434265,0.2941226363182068,0.7359185814857483,0.37749868631362915,0.8570043444633484,0.44981300830841064,0.1492244283358256,-0.4021126925945282,0.0866077198668207,,0,0,False,0.16696196794509888,0.09920007735490799,0.1556302309036255,0.14089618623256683,0.13190883149703345,0.1556302309036255,0.10889611393213272,0.16676932573318481,0.10996637493371964,0.12854393819967905,0.16676932573318481
