model,AUROC,AUPRC,Brier,ECE,N_liq_logMAE,N_liq_MAE,N_liq_n_observed,Produces_Trajectory
DPI-EVT,1.0,1.0,0.0005620875717303795,0.01370363092444239,0.18744012713432312,31.431734085083008,137,1
DPI-Flow,1.0,1.0,0.00036147681266183643,0.011079591719338495,0.15850162506103516,24.451824188232422,137,1
EVT-NeuralSSM,1.0,1.0,0.002291680723857428,0.025417280825276445,0.29272133111953735,47.8381462097168,137,1
PINN,1.0,1.0,0.025736176369153138,0.13452827778175802,0.9707573652267456,451.26409912109375,137,1
Transformer,1.0,1.0,0.032244914656274666,0.15434614650524445,0.9618688225746155,617.4089965820312,137,1
LSTM,1.0,1.0,0.2264190236470865,0.06768608093261719,2.4551162719726562,1249.576416015625,137,1
RealNVP,1.0,1.0,0.15459506236143927,0.3897342220710142,2.1019201278686523,1222.7537841796875,137,1
TCN,1.0,1.0,0.22689995573056232,0.379828147427009,2.3508188724517822,1243.511962890625,137,1
CatBoost,1.0,1.0,4.390329389286981e-05,0.005496824037854689,0.15299709141254425,70.64592742919922,137,0
MLP-Risk,1.0,1.0,0.0005027805822104409,0.0062135987112937625,0.7889185547828674,182.33180236816406,137,0
FT-Transformer,1.0,1.0,0.06293684134205134,0.2420528191719612,1.8698015213012695,1180.0040283203125,137,0
DeepState,0.9997768853190541,0.9998565691336776,0.2213263719040711,0.28174559239053376,1.6257214546203613,1154.24560546875,137,1
GRU,0.999553770638108,0.9997114101846284,0.2257841989335228,0.28955813850799617,1.721117615699768,1167.0294189453125,137,1
Neural Spline Flow,0.998215082552432,0.9988635260690681,0.13303213755500862,0.30909488932059626,1.6731765270233154,1164.75146484375,137,1
