model,Traj_RMSE,Traj_CRPS,Calibration_Error,Coverage_90,Physics_Violation_Rate,CRR_RMSE,N_CRR_test,N_CRR_objects,N_liq_logMAE,N_liq_n_observed
Transformer,0.024137793486004616,0.016044224373451835,0.11346861918767293,0.999808132648468,0.005050505050505051,,0,0,0.3028976321220398,162
RealNVP,0.026999038871862554,0.013824872184482946,0.10492659409840903,0.7878729701042175,0.21212121212121213,,0,0,0.4038126766681671,162
Neural Spline Flow,0.041069955547875785,0.02423450103494929,0.3310291151205699,0.5606831312179565,0.3888888888888889,,0,0,0.48578256368637085,162
EVT-NeuralSSM,0.08044423753098531,0.031398696567780326,0.04832101662953695,0.8476446270942688,0.0,0.21060506999492645,96,1,0.18845409154891968,162
DPI-EVT,0.08373875519360843,0.035255977191160345,0.08813681999842327,0.8120502829551697,0.0,0.15271419286727905,96,1,0.18829528987407684,162
DPI-Flow,0.08586665506191767,0.03186287527710515,0.08826473156611125,0.8054302930831909,0.0,0.21076516807079315,96,1,0.15437224507331848,162
LSTM,0.09965550532560698,0.05072442325087344,0.10399916569391887,0.7884486317634583,0.8888888888888888,,0,0,0.8670370578765869,162
PINN,0.1468189677940768,0.07884360145156678,0.0831478516260783,0.796507716178894,0.0,,0,0,1.4043887853622437,162
TCN,0.17009971892476897,0.0854420029578712,0.024649004141489628,0.9083756804466248,0.9494949494949495,,0,0,1.4758599996566772,162
GRU,0.20256492537906437,0.11062924551029957,0.01873262723286943,0.9135565757751465,0.5151515151515151,,0,0,1.9163049459457397,162
DeepState,0.3467354850460758,0.15992782001261197,0.025039164225260424,0.8843902945518494,0.0,,0,0,1.7533471584320068,162
