Model,N_liq MAE (cyc),N_liq log-MAE,PPR curve RMSE,Coverage@90%,ECE (calib.),Physics violations
PINN,2207.8254,1.9073,0.1004,0.974,0.1679,0.0
DPI-Flow,2064.9927,1.6086,0.1054,0.9386,0.0546,0.0
Transformer,2216.1907,1.9881,0.1098,0.9846,0.1993,0.0693
DPI-EVT,307.485,0.5697,0.117,0.925,0.0521,0.0
EVT-NeuralSSM,189.8417,0.4806,0.1263,0.9229,0.0526,0.0
GRU,2243.0632,2.1603,0.2223,0.8493,0.3351,0.0
TCN,2303.2527,3.2203,0.2469,0.8469,0.2827,0.0792
LSTM,2241.7271,2.1493,0.2475,0.9704,0.0356,0.0
Neural Spline Flow,2274.0386,2.5071,0.2719,0.7585,0.2875,1.0
RealNVP,2279.3098,2.6127,0.3146,0.7406,0.3127,1.0
DeepState,2219.5078,1.9838,0.3563,0.888,0.3715,0.0
MLP-Risk,1837.4764,1.2157,,,0.0192,
CatBoost,1639.0723,0.5872,,,0.0104,
FT-Transformer,2011.1157,1.5455,,,0.1511,
