model,pareto_front_raw,pareto_front_admissible,P3_Core_Raw_Score,P3_Core_Admissible_Score,physically_unreliable,competence_failed,competence_reason,excluded_from_admissible_ranking,physical_penalty,Physics_Violation_Rate,N_liq_logMAE,Traj_RMSE_continuation_balanced,Traj_RMSE_continuation_worst,Traj_RMSE_continuation,Traj_RMSE_balanced,Traj_RMSE_worst,Traj_RMSE_liq,Traj_RMSE_stab,Traj_RMSE_nostab,Traj_RMSE,Brier,AUPRC,N_liq_MAE,N_liq_RMSE,AUROC,ECE,Traj_MAE,Traj_MSE,Produces_CRR
EVT-NeuralSSM,1.0,1.0,4563.6074,4563.6074,False,False,,False,0.0,0.0,0.1885,0.0569,0.0722,0.0622,0.0644,0.0964,0.0964,0.0458,0.051,0.0804,0.0,1.0,30.8277,60.005,1.0,0.0001,0.044,0.0065,True
Transformer,1.0,1.0,1595.459,1595.459,False,False,,False,0.0,0.0051,0.3029,0.0268,0.0338,0.0261,0.0204,0.0311,0.0191,0.0311,0.0109,0.0241,0.0,1.0,70.2036,95.273,1.0,0.0016,0.0187,0.0006,False
DPI-Flow,1.0,1.0,1369.2866,1369.2866,False,False,,False,0.0,0.0,0.1544,0.0578,0.0725,0.0628,0.0844,0.1087,0.1035,0.0411,0.1087,0.0859,0.0,1.0,29.7769,59.9821,1.0,0.0006,0.045,0.0074,True
DPI-EVT,2.0,2.0,2103.8543,2103.8543,False,False,,False,0.0,0.0,0.1883,0.0633,0.0714,0.0656,0.0711,0.0983,0.0983,0.0538,0.0612,0.0837,0.0,1.0,30.366,60.9409,1.0,0.0002,0.0491,0.007,True
PINN,3.0,,100.0,0.0,False,True,Traj_RMSE_continuation_worst=0.217>3×best(0.034); N_liq_logMAE=1.404>3×best(0.154),True,0.0,0.0,1.4044,0.1404,0.2175,0.144,0.2002,0.3192,0.0731,0.2084,0.3192,0.1468,0.0229,0.9996,652.6127,717.6242,0.9995,0.0938,0.1112,0.0216,False
DeepState,4.0,,47.8547,0.0,False,True,Traj_RMSE_continuation_worst=0.571>3×best(0.034); N_liq_logMAE=1.753>3×best(0.154),True,0.0,0.0,1.7533,0.3207,0.571,0.3592,0.3558,0.5392,0.1167,0.5392,0.4114,0.3467,0.1538,0.8477,1016.6324,1167.9135,0.8403,0.0975,0.231,0.1202,False
RealNVP,1.0,,546.9891,0.0,True,False,,True,15.1591,0.2121,0.4038,0.0264,0.0384,0.0264,0.0274,0.036,0.0195,0.036,0.0266,0.027,0.0009,1.0,111.3429,165.0044,1.0,0.0097,0.0188,0.0007,False
Neural Spline Flow,2.0,,435.4607,0.0,True,True,N_liq_logMAE=0.486>3×best(0.154),True,28.4167,0.3889,0.4858,0.0401,0.041,0.0403,0.0366,0.0434,0.0434,0.0376,0.0289,0.0411,0.001,1.0,190.1532,285.8237,1.0,0.013,0.0314,0.0017,False
GRU,4.0,,53.0112,0.0,True,True,Traj_RMSE_continuation_worst=0.270>3×best(0.034); N_liq_logMAE=1.916>3×best(0.154),True,37.8864,0.5152,1.9163,0.1845,0.2702,0.185,0.2542,0.3548,0.1492,0.2585,0.3548,0.2026,0.1799,0.9914,1187.082,1327.7762,0.9859,0.214,0.1622,0.041,False
LSTM,3.0,,124.4709,0.0,True,True,Traj_RMSE_continuation_worst=0.142>3×best(0.034); N_liq_logMAE=0.867>3×best(0.154),True,65.9167,0.8889,0.867,0.0898,0.1423,0.0932,0.1181,0.1557,0.0573,0.1412,0.1557,0.0997,0.0443,0.9981,217.8483,277.0496,0.9976,0.0938,0.068,0.0099,False
TCN,4.0,,88.2047,0.0,True,True,Traj_RMSE_continuation_worst=0.233>3×best(0.034); N_liq_logMAE=1.476>3×best(0.154),True,70.4621,0.9495,1.4759,0.1517,0.2335,0.1551,0.2309,0.3596,0.1013,0.2318,0.3596,0.1701,0.0341,0.9973,682.6826,739.7862,0.996,0.1026,0.1233,0.0289,False
FT-Transformer,,,,0.0,True,True,N_liq_logMAE=0.522>3×best(0.154),True,,,0.5223,,,,,,,,,,0.0039,1.0,172.2975,382.1583,1.0,0.0073,,,False
CatBoost,,,,,True,False,,True,,,0.1757,,,,,,,,,,0.0001,1.0,92.2246,179.452,1.0,0.0028,,,False
MLP-Risk,,,,,True,False,,True,,,0.2547,,,,,,,,,,0.0004,1.0,51.9324,95.6201,1.0,0.0019,,,False
