Model,CRPS ↓,NLL ↓,Calib. err ↓,Cov@90%,Physics viol. ↓,CRR RMSE ↓
PINN,0.0503,-1.019,0.014,0.9194,0.0,
Transformer,0.0621,-0.713,0.0739,0.9656,0.2277,
DPI-Flow,0.0523,-0.9955,0.0461,0.9396,0.0,0.2005
EVT-NeuralSSM,0.0726,-0.6531,0.0233,0.9221,0.0,0.1778
GRU,0.148,0.0134,0.0428,0.9467,0.0,
LSTM,0.1725,0.3676,0.1162,1.0,0.0,
Neural Spline Flow,0.1801,0.3141,0.1813,0.7061,1.0,
RealNVP,0.1912,0.3697,0.181,0.718,1.0,
TCN,0.1867,0.334,0.076,0.9659,0.0792,
DeepState,0.179,0.1218,0.0498,0.8484,0.0,
MLP-Risk,,,,,,
CatBoost,,,,,,
FT-Transformer,,,,,,
